,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
85,Eros Dacaj,de GER,MF,Elversberg,26-116,1996,8,0,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c18e4b9b
86,Koray Dag,de GER,FW,Verl,19-231,2003,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,44cb970a
87,Leon Damer,de GER,MFFW,Hallescher,22-337,2000,17,12,962,10.7,0,3,0,0,0,5,0,0.00,0.28,0.28,0.00,0.28,Matches,1c105852
88,Niklas Dams,de GER,DF,Dortmund II,32-220,1990,16,15,1346,15.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bc6c859a
89,Tim Danhof,de GER,MFDF,Erzgebirge Aue,25-243,1997,11,7,726,8.1,1,0,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,f8eaf8e7
90,Leon Deichmann,de GER,DF,VfB Oldenburg,25-313,1997,10,8,746,8.3,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,427135e0
91,Yannick Deichmann,de GER,MF,1860 Munich,28-143,1994,16,16,1297,14.4,3,2,3,0,0,3,0,0.21,0.14,0.35,0.21,0.35,Matches,16f1ce7e
92,Tunay Deniz,de GER,MF,Hallescher,28-335,1994,16,7,758,8.4,2,1,2,0,0,4,1,0.24,0.12,0.36,0.24,0.36,Matches,10d538f9
93,Lars Dietz,de GER,DF,Viktoria Köln,25-361,1997,13,12,1102,12.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,b125ea9f
94,Erik Domaschke,de GER,GK,Meppen,37-053,1985,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,225f6fce
95,Max Dombrowka,de GER,DFMF,Meppen,30-285,1992,15,15,1300,14.4,0,4,0,0,0,3,0,0.00,0.28,0.28,0.00,0.28,Matches,0923662a
96,Johannes Dörfler,de GER,DF,SV Waldhof,26-133,1996,2,0,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6ba7f195
97,Moussa Doumbouya,gn GUI,FWMF,Ingolstadt 04,25-002,1998,13,10,827,9.2,1,3,1,0,0,2,0,0.11,0.33,0.44,0.11,0.44,Matches,32531b09
98,Stefan Drljača,de GER,GK,Dresden,23-258,1999,13,13,1170,13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1f964b1b
99,Luca Dürholtz,de GER,MF,Rot-Weiss Essen,29-138,1993,2,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a5483c84
